bioguide,first_name,last_name,state,district,problem_solvers,governance_group,main_street,study_committee,freedom_caucus
H001052,Andy,Harris,MD,1,FALSE,FALSE,FALSE,FALSE,TRUE
H001086,Diana,Harshbarger,TN,1,FALSE,FALSE,FALSE,TRUE,FALSE
H001082,Kevin,Hern,OK,1,FALSE,FALSE,FALSE,TRUE,FALSE
H001077,Clay,Higgins,LA,3,FALSE,FALSE,FALSE,TRUE,TRUE
H001072,French,Hill,AR,2,FALSE,FALSE,FALSE,TRUE,FALSE
H001091,Ashley,Hinson,IA,2,FALSE,FALSE,FALSE,TRUE,FALSE
H001093,Erin,Houchin,IN,9,FALSE,FALSE,TRUE,TRUE,FALSE
H001067,Richard,Hudson,NC,9,FALSE,FALSE,FALSE,TRUE,FALSE
H001058,Bill,Huizenga,MI,4,FALSE,FALSE,TRUE,TRUE,FALSE
H001095,Wesley,Hunt,TX,38,FALSE,FALSE,FALSE,FALSE,FALSE
I000056,Darrell,Issa,CA,48,FALSE,FALSE,FALSE,TRUE,FALSE
J000304,Ronny,Jackson,TX,13,FALSE,FALSE,FALSE,TRUE,TRUE
J000307,John,James,MI,10,TRUE,FALSE,FALSE,TRUE,FALSE
J000299,Mike,Johnson,LA,4,FALSE,FALSE,FALSE,TRUE,FALSE
J000292,Bill,Johnson,OH,6,TRUE,TRUE,TRUE,TRUE,FALSE
J000301,Dusty,Johnson,SD,0,TRUE,FALSE,TRUE,TRUE,FALSE
J000289,Jim,Jordan,OH,4,FALSE,FALSE,FALSE,FALSE,TRUE
J000295,David,Joyce,OH,14,TRUE,TRUE,TRUE,FALSE,FALSE
J000302,John,Joyce,PA,13,FALSE,FALSE,FALSE,FALSE,FALSE
K000398,Thomas,Kean Jr.,NJ,7,TRUE,TRUE,TRUE,FALSE,FALSE
K000388,Trent,Kelly,MS,1,FALSE,FALSE,FALSE,TRUE,FALSE
K000376,Mike,Kelly,PA,16,FALSE,FALSE,FALSE,TRUE,FALSE
K000399,Jen A.,Kiggans,VA,2,FALSE,FALSE,TRUE,FALSE,FALSE
K000401,Kevin,Kiley,CA,3,FALSE,FALSE,TRUE,TRUE,FALSE
K000397,Young,Kim,CA,40,TRUE,TRUE,TRUE,FALSE,FALSE
K000392,David,Kustoff,TN,8,FALSE,FALSE,FALSE,TRUE,FALSE
L000585,Darin,LaHood,IL,16,FALSE,FALSE,FALSE,TRUE,FALSE
L000598,Nicholas J.,LaLota,NY,1,TRUE,TRUE,TRUE,TRUE,FALSE
L000578,Doug,LaMalfa,CA,1,FALSE,FALSE,FALSE,TRUE,FALSE
L000564,Doug,Lamborn,CO,5,FALSE,FALSE,FALSE,TRUE,FALSE
L000600,Nick,Langworthy,NY,23,FALSE,FALSE,TRUE,TRUE,FALSE
